scores,apple,steps,time per apple
0.0,56,56,inf
2.0,60,116,30.0
1.0,27,143,27.0
1.0,58,201,58.0
4.0,34,235,8.5
1.0,15,250,15.0
2.0,23,273,11.5
1.0,15,288,15.0
4.0,64,352,16.0
1.0,13,365,13.0
5.0,64,429,12.8
7.0,57,486,8.142857142857142
1.0,15,501,15.0
1.0,44,545,44.0
6.0,100,645,16.666666666666668
3.0,31,676,10.333333333333334
9.0,145,821,16.11111111111111
1.0,15,836,15.0
6.0,115,951,19.166666666666668
1.0,4,955,4.0
2.0,23,978,11.5
0.0,16,994,inf
3.0,31,1025,10.333333333333334
9.0,128,1153,14.222222222222221
1.0,19,1172,19.0
0.0,21,1193,inf
1.0,17,1210,17.0
3.0,37,1247,12.333333333333334
3.0,28,1275,9.333333333333334
1.0,13,1288,13.0
2.0,39,1327,19.5
3.0,32,1359,10.666666666666666
2.0,39,1398,19.5
2.0,37,1435,18.5
1.0,12,1447,12.0
3.0,37,1484,12.333333333333334
5.0,84,1568,16.8
7.0,79,1647,11.285714285714286
3.0,30,1677,10.0
5.0,62,1739,12.4
10.0,140,1879,14.0
5.0,60,1939,12.0
15.0,206,2145,13.733333333333333
12.0,149,2294,12.416666666666666
5.0,64,2358,12.8
12.0,199,2557,16.583333333333332
1.0,15,2572,15.0
4.0,51,2623,12.75
1.0,14,2637,14.0
2.0,40,2677,20.0
6.0,60,2737,10.0
8.0,103,2840,12.875
2.0,59,2899,29.5
2.0,38,2937,19.0
8.0,95,3032,11.875
4.0,63,3095,15.75
2.0,26,3121,13.0
6.0,53,3174,8.833333333333334
1.0,16,3190,16.0
3.0,53,3243,17.666666666666668
4.0,55,3298,13.75
7.0,94,3392,13.428571428571429
5.0,74,3466,14.8
7.0,87,3553,12.428571428571429
9.0,110,3663,12.222222222222221
18.0,233,3896,12.944444444444445
2.0,24,3920,12.0
21.0,280,4200,13.333333333333334
2.0,41,4241,20.5
1.0,20,4261,20.0
1.0,15,4276,15.0
14.0,188,4464,13.428571428571429
1.0,18,4482,18.0
8.0,167,4649,20.875
6.0,86,4735,14.333333333333334
7.0,98,4833,14.0
12.0,153,4986,12.75
6.0,69,5055,11.5
15.0,200,5255,13.333333333333334
6.0,112,5367,18.666666666666668
16.0,244,5611,15.25
4.0,75,5686,18.75
1.0,15,5701,15.0
7.0,84,5785,12.0
18.0,237,6022,13.166666666666666
