"value","category"
24.5454545454545,"Tabular"
28.0416666666667,"Onestep"
22.9545454545455,"Vector"
28.5384615384615,"Tabular"
23.0740740740741,"Onestep"
20.5217391304348,"Vector"
22.3111111111111,"Tabular"
18.7619047619048,"Onestep"
20.4285714285714,"Vector"
23.4285714285714,"Tabular"
27.0487804878049,"Onestep"
23.8,"Vector"
25.8292682926829,"Tabular"
18.875,"Onestep"
26.5,"Vector"
19.6086956521739,"Tabular"
24,"Onestep"
21.9772727272727,"Vector"
25.3571428571429,"Tabular"
23.8387096774194,"Onestep"
19.8787878787879,"Vector"
23.5945945945946,"Tabular"
24.5434782608696,"Onestep"
19.3235294117647,"Vector"
21.1153846153846,"Tabular"
24.625,"Onestep"
23.3421052631579,"Vector"
30.0714285714286,"Tabular"
23.6774193548387,"Onestep"
20.4782608695652,"Vector"
23.4418604651163,"Tabular"
18.6451612903226,"Onestep"
29.9411764705882,"Vector"
20.5714285714286,"Tabular"
22.3333333333333,"Onestep"
22.3877551020408,"Vector"
21.85,"Tabular"
22.0833333333333,"Onestep"
24.6,"Vector"
21.8571428571429,"Tabular"
23.0588235294118,"Onestep"
25.65,"Vector"
27.1904761904762,"Tabular"
25.6842105263158,"Onestep"
18.625,"Vector"
25.2916666666667,"Tabular"
24.7083333333333,"Onestep"
22.5652173913043,"Vector"
23.0740740740741,"Tabular"
27,"Onestep"
17.76,"Vector"
21.2,"Tabular"
19.9705882352941,"Onestep"
18.4642857142857,"Vector"
26.3666666666667,"Tabular"
24.0277777777778,"Onestep"
22.5,"Vector"
22.0645161290323,"Tabular"
24,"Onestep"
17.875,"Vector"
22.6785714285714,"Tabular"
30.1666666666667,"Onestep"
26,"Vector"
27,"Tabular"
21.0217391304348,"Onestep"
25.8461538461538,"Vector"
20.3181818181818,"Tabular"
24.037037037037,"Onestep"
26.5,"Vector"
23.2368421052632,"Tabular"
18.0909090909091,"Onestep"
24.6666666666667,"Vector"
21.6666666666667,"Tabular"
26.7894736842105,"Onestep"
27.6111111111111,"Vector"
27.5238095238095,"Tabular"
24.6923076923077,"Onestep"
19.3684210526316,"Vector"
24,"Tabular"
22.6333333333333,"Onestep"
17,"Vector"
18.7272727272727,"Tabular"
25.6666666666667,"Onestep"
24.4651162790698,"Vector"
22.7916666666667,"Tabular"
18.7333333333333,"Onestep"
22.4333333333333,"Vector"
19.4090909090909,"Tabular"
23.44,"Onestep"
24.3333333333333,"Vector"
22.6521739130435,"Tabular"
25.0571428571429,"Onestep"
20.8214285714286,"Vector"
21.1,"Tabular"
19.3488372093023,"Onestep"
23.4358974358974,"Vector"
21.5263157894737,"Tabular"
18.2307692307692,"Onestep"
22.5526315789474,"Vector"
19.6206896551724,"Tabular"
23.5,"Onestep"
24.4705882352941,"Vector"
22.8684210526316,"Tabular"
25.9444444444444,"Onestep"
21.2413793103448,"Vector"
28.2,"Tabular"
22.2,"Onestep"
23.1818181818182,"Vector"
22.6341463414634,"Tabular"
21.7222222222222,"Onestep"
26.8611111111111,"Vector"
19.3,"Tabular"
24.4375,"Onestep"
23.0666666666667,"Vector"
19.7272727272727,"Tabular"
22.6521739130435,"Onestep"
17,"Vector"
22.3225806451613,"Tabular"
21.875,"Onestep"
30.40625,"Vector"
25.8297872340426,"Tabular"
26.7777777777778,"Onestep"
21.2903225806452,"Vector"
17.2,"Tabular"
21.48,"Onestep"
20.7368421052632,"Vector"
24.7631578947368,"Tabular"
24.4615384615385,"Onestep"
21.1785714285714,"Vector"
20.8125,"Tabular"
20.9047619047619,"Onestep"
20.4,"Vector"
25.6666666666667,"Tabular"
24.3225806451613,"Onestep"
23.1724137931034,"Vector"
24,"Tabular"
19.2727272727273,"Onestep"
26.8888888888889,"Vector"
23.8,"Tabular"
20.8,"Onestep"
20.6153846153846,"Vector"
22.6136363636364,"Tabular"
20.8461538461538,"Onestep"
25.9130434782609,"Vector"
17.5714285714286,"Tabular"
23,"Onestep"
17.7037037037037,"Vector"
20.9375,"Tabular"
23,"Onestep"
25.625,"Vector"
23.7857142857143,"Tabular"
30.0769230769231,"Onestep"
23.6363636363636,"Vector"
23.8235294117647,"Tabular"
27.8125,"Onestep"
17.2307692307692,"Vector"
20.1071428571429,"Tabular"
25.0666666666667,"Onestep"
26.2894736842105,"Vector"
19.2857142857143,"Tabular"
23.046511627907,"Onestep"
22.1333333333333,"Vector"
24,"Tabular"
